id,intent,variations__0,variations__1,variations__2,variations__3,variations__4,variations__5,variations__6,variations__7,variations__8,variations__9,variations__10,variations__11,variations__12,variations__13,variations__14,variations__15,variations__16,variations__17,variations__18,variations__19,variations__20,variations__21,variations__22,variations__23,variations__24,variations__25,variations__26
995,Can I open AllinCall bank online?,Is there a procedure to open AllinCall bank online,How to open AllinCall bank online,Can I open AllinCall bank online?,,,,,,,,,,,,,,,,,,,,,,,,
996,What are the features of AllinCall bank account?,Explain the features of AllinCall bank account,Tellme about the features of AllinCall bank account,GIve information on the AllinCall bank account fetaures,Share details on on the AllinCall bank account features,What are the features of AllinCall bank account?,,,,,,,,,,,,,,,,,,,,,,
997,What are the features of AllinCall bank Video Kyc account?,What are the features of AllinCall bank Video Kyc account?,features of AllinCall bank Video KYC account,tell me features of AllinCall bank Video KYC account,explain all features of AllinCall bank Video KYC account,i am confused about the features of AllinCall bank video kyc account?,explain the features of AllinCall bank video kyc account?,details on the features of AllinCall bank video kyc account?,information about the features of AllinCall bank video kyc account?,i do not know about the features of AllinCall bank video kyc account?,tell me about the features of AllinCall bank video kyc account?,i do not understand what are the features of AllinCall bank video kyc account?,explain what are the features of AllinCall bank video kyc account?,details about the features of AllinCall bank video kyc account?,what do you mean by the features of AllinCall bank video kyc account?,what are the things i need to know about the features of AllinCall bank video kyc account?,i want to know about the features of AllinCall bank video kyc account?,can you explain the features of AllinCall bank video kyc account?,give me information on the features of AllinCall bank video kyc account?,information on the features of AllinCall bank video kyc account?,,,,,,,,
998,Can I open a joint AllinCall bank account?,Am i allowed to open a joint AllinCall bank account,Does AllinCall bank allows the user to open a joint account?,Can I open a joint AllinCall bank account?,Is it possible to open joint account,,,,,,,,,,,,,,,,,,,,,,,
999,I don?t have a PAN card,I don?t have a PAN,how to open an account if i dont have PAN,I dont have PAN card,I don?t have a PAN card,help me open account without PAN card,what to do if I don?t have a PAN card,Apply for New PAN card,,,,,,,,,,,,,,,,,,,,
1000,I don?t have an Aadhaar card. How do I open an account?,I don?t have an Aadhaar to open an account,I don?t have an Aadhaar card. How do I open an account?,I don't have Aadhar card can i open an account ,Help me open an account I dont have account,,,,,,,,,,,,,,,,,,,,,,,
1001,Fees and charges for AllinCall bank account,What are the Fees and charges for AllinCall bank account?,Explain the Fees and charges for AllinCall bank account,Tell me about the Fees and charges for AllinCall bank account,Give details on the Fees and charges for AllinCall bank account,Share information on Fees and charges for AllinCall bank account,Fees and charges for AllinCall bank account,What are my account charges,,,,,,,,,,,,,,,,,,,,
1003,What is the interest rate of AllinCall bank?,Explain the interest rate of AllinCall bank,Specify the interest rate of AllinCall bank,Give details on the interest rate of AllinCall bank,Share information on the interest rate of AllinCall bank,Tell me aboout the interest rate of AllinCall bank,What is the interest rate of AllinCall bank?,What is savings account interest rate,,,,,,,,,,,,,,,,,,,,
1004,What is AllinCall Lite,Explain AllinCall Lite,Elaborate AllinCall Lite,Give details on AllinCall Lite,Share information of AllinCall Lite,Tell me about AllinCall Lite,What is AllinCall Lite,,,,,,,,,,,,,,,,,,,,,
1005,What is AllinCall Limited,Explain AllinCall Limited,Elaborate AllinCall Limited,Give details on AllinCall Limited,Share information of AllinCall Limited,Tell me about AllinCall Limited,What is AllinCall Limited,,,,,,,,,,,,,,,,,,,,,
